type,value
substring,addinutil.exe
substring,c:\windows\microsoft.net\framework\v4.0.30319\addinutil.exe
substring,addinutil.exe
substring,addinutil.exe
substring,addinutil.exe
substring,addinutil.exe
substring,appinstaller.exe
substring,appinstaller.exe
substring,aspnet_compiler.exe
substring,c:\windows\microsoft.net\framework64\v4.0.30319\aspnet_compiler.exe
substring,aspnet_compiler.exe
substring,aspnet_compiler.exe
substring,at.exe
substring,c:\windows\system32\at.exe
substring,at.exe
substring,at.exe
substring,atbroker.exe
substring,atbroker.exe
substring,atbroker.exe
substring,atbroker.exe
substring,bash.exe
substring,bash.exe
substring,bash.exe
substring,bash.exe
substring,bash.exe
substring,bash.exe
substring,bash.exe
substring,bitsadmin.exe
substring,c:\windows\system32\cmd.exe
substring,c:\data\playfolder\cmd.exe
substring,c:\data\playfolder\1.txt:cmd.exe
substring,https://live.sysinternals.com/autoruns.exe
substring,c:\data\playfolder\autoruns.exe
substring,c:\windows\system32\cmd.exe
substring,c:\data\playfolder\cmd.exe
substring,c:\windows\system32\cmd.exe
substring,c:\data\playfolder\cmd.exe
substring,c:\data\playfolder\cmd.exe
substring,bitsadmin.exe
substring,bitsadmin.exe
substring,certoc.exe
substring,certoc.exe
substring,certoc.exe
substring,certoc.exe
substring,certoc.exe
substring,certreq.exe
substring,certreq.exe
substring,certreq.exe
substring,certutil.exe
substring,certutil.exe
substring,certutil.exe
substring,certutil.exe
substring,certutil.exe
substring,-encode
substring,certutil.exe
substring,certutil.exe
substring,change.exe
substring,change.exe
substring,change.exe
substring,change.exe
substring,cipher.exe
substring,cipher.exe
substring,cipher.exe
substring,cmd.exe
substring,cmd.exe
substring,regsvr32.exe
substring,{path}:payload.bat
substring,cmd.exe
substring,{path}:payload.bat
substring,cmd.exe
substring,cmd.exe
substring,cmdkey.exe
substring,cmdkey.exe
substring,cmdkey.exe
substring,cmdl32.exe
substring,cmdl32.exe
substring,cmdl32.exe
substring,cmstp.exe
substring,cmstp.exe
substring,cmstp.exe
substring,cmstp.exe
substring,cmstp.exe
substring,colorcpl.exe
substring,colorcpl.exe
substring,colorcpl.exe
substring,computerdefaults.exe
substring,computerdefaults.exe
substring,computerdefaults.exe
substring,computerdefaults.exe
substring,configsecuritypolicy.exe
substring,configsecuritypolicy.exe
substring,configsecuritypolicy.exe
substring,configsecuritypolicy.exe
substring,configsecuritypolicy.exe
substring,conhost.exe
substring,conhost.exe
substring,conhost.exe
substring,conhost.exe
substring,control.exe
substring,control.exe
substring,control.exe
substring,control.exe
substring,control.exe
substring,csc.exe
substring,csc.exe
substring,csc.exe
substring,csc.exe
substring,csc.exe
substring,csc.exe
substring,csc.exe
substring,csc.exe
substring,cscript.exe
substring,{path_absolute}:script.vbs
substring,cscript.exe
substring,cscript.exe
substring,customshellhost.exe
substring,customshellhost.exe
substring,customshellhost.exe
substring,datasvcutil.exe
substring,datasvcutil.exe
substring,desktopimgdownldr.exe
substring,desktopimgdownldr.exe
substring,desktopimgdownldr.exe
substring,devicecredentialdeployment.exe
substring,devicecredentialdeployment.exe
substring,dfsvc.exe
substring,rundll32.exe
substring,dfsvc.exe
substring,dfsvc.exe
substring,dfsvc.exe
substring,dfsvc.exe
substring,diantz.exe
substring,diantz.exe
substring,diantz.exe
substring,diantz.exe
substring,diantz.exe
substring,diskshadow.exe
substring,diskshadow.exe
substring,diskshadow.exe
substring,diskshadow.exe
substring,dnscmd.exe
substring,dnscmd.exe
substring,dnscmd.exe
substring,dnscmd.exe
substring,esentutl.exe
substring,esentutl.exe
substring,esentutl.exe
substring,{path_absolute}:file.exe
substring,esentutl.exe
substring,{path_absolute}:file.exe
substring,esentutl.exe
substring,{path_absolute}:file.exe
substring,esentutl.exe
substring,esentutl.exe
substring,esentutl.exe
substring,esentutl.exe
substring,eudcedit.exe
substring,eudcedit.exe
substring,eudcedit.exe
substring,eventvwr.exe
substring,eventvwr.exe
substring,ysoserial.exe
substring,eventvwr.exe
substring,eventvwr.exe
substring,eventvwr.exe
substring,expand.exe
substring,{path_absolute}:file.bat
substring,expand.exe
substring,expand.exe
substring,explorer.exe
substring,explorer.exe
substring,explorer.exe
substring,explorer.exe
substring,explorer.exe
substring,extexport.exe
substring,extexport.exe
substring,extexport.exe
substring,extexport.exe
substring,extrac32.exe
substring,{path_absolute}:file.exe
substring,{path_absolute}:file.exe
substring,extrac32.exe
substring,extrac32.exe
substring,extrac32.exe
substring,findstr.exe
substring,{path_absolute}:file.exe
substring,{path_absolute}:file.exe
substring,findstr.exe
substring,findstr.exe
substring,finger.exe
substring,finger.exe
substring,finger.exe
substring,fltmc.exe
substring,fltmc.exe
substring,fltmc.exe
substring,forfiles.exe
substring,notepad.exe
substring,notepad.exe
substring,forfiles.exe
substring,forfiles.exe
substring,fsutil.exe
substring,fsutil.exe
substring,fsutil.exe
substring,fsutil.exe
substring,fsutil.exe
substring,fsutil.exe
substring,ftp.exe
substring,cmd.exe
substring,ftp.exe
substring,ftp.exe
substring,gpscript.exe
substring,gpscript.exe
substring,gpscript.exe
substring,hh.exe
substring,hh.exe
substring,hh.exe
substring,hh.exe
substring,hh.exe
substring,hh.exe
substring,imewdbld.exe
substring,c:\windows\system32\ime\shared\imewdbld.exe
substring,imewdbld.exe
substring,ie4uinit.exe
substring,ie4uinit.exe
substring,ie4uinit.exe
substring,ie4uinit.exe
substring,ieuinit.inf
substring,ieuinit.inf
substring,iediagcmd.exe
substring,iediagcmd.exe
substring,iediagcmd.exe
substring,ieexec.exe
substring,ieexec.exe
substring,ieexec.exe
substring,ieexec.exe
substring,ieexec.exe
substring,ilasm.exe
substring,ilasm.exe
substring,ilasm.exe
substring,ilasm.exe
substring,ilasm.exe
substring,infdefaultinstall.exe
substring,infdefaultinstall.exe
substring,infdefaultinstall.exe
substring,infdefaultinstall.exe
substring,installutil.exe
substring,installutil.exe
substring,installutil.exe
substring,installutil.exe
substring,installutil.exe
substring,installutil.exe
substring,installutil.exe
substring,installutil.exe
substring,iscsicpl.exe
substring,c:\windows\syswow64\iscsicpl.exe
substring,iscsicpl.exe
substring,iscsicpl.exe
substring,iscsicpl.exe
substring,jsc.exe
substring,jsc.exe
substring,jsc.exe
substring,jsc.exe
substring,jsc.exe
substring,jsc.exe
substring,jsc.exe
substring,ldifde.exe
substring,ldifde.exe
substring,ldifde.exe
substring,makecab.exe
substring,makecab.exe
substring,makecab.exe
substring,mavinject.exe
substring,mavinject.exe
substring,mavinject.exe
substring,mavinject.exe
substring,mavinject.exe
substring,microsoft.workflow.compiler.exe
substring,microsoft.workflow.compiler.exe
substring,microsoft.workflow.compiler.exe
substring,microsoft.workflow.compiler.exe
substring,microsoft.workflow.compiler.exe
substring,mmc.exe
substring,mmc.exe
substring,mmc.exe
substring,mmc.exe
substring,mmc.exe
substring,mmc.exe
substring,mpcmdrun.exe
substring,mpcmdrun.exe
substring,c:\users\public\downloads\mp.exe
substring,c:\users\public\downloads\evil.exe
substring,mpcmdrun.exe
substring,{path_absolute:.exe}:evil.exe
substring,mpcmdrun.exe
substring,mpcmdrun.exe
substring,mpcmdrun.exe
substring,mpcmdrun.exe
substring,mpcmdrun.exe
substring,mpcmdrun.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msbuild.exe
substring,msconfig.exe
substring,msconfig.exe
substring,msconfig.exe
substring,msdt.exe
substring,msdt.exe
substring,msdt.exe
substring,msdt.exe
substring,msdt.exe
substring,msdt.exe
substring,msedge.exe
substring,msedge.exe
substring,msedge.exe
substring,msedge.exe
substring,msedge.exe
substring,msedge.exe
substring,mshta.exe
substring,mshta.exe
substring,mshta.exe
substring,mshta.exe
substring,mshta.exe
substring,mshta.exe
substring,mshta.exe
substring,mshta.exe
substring,msiexec.exe
substring,msiexec
substring,msiexec
substring,msiexec
substring,msiexec
substring,msiexec
substring,msiexec.exe
substring,msiexec.exe
substring,netsh.exe
substring,netsh.exe
substring,netsh.exe
substring,netsh.exe
substring,ngen.exe
substring,ngen.exe
substring,ngen.exe
substring,ngen.exe
substring,ngen.exe
substring,ngen.exe
substring,odbcconf.exe
substring,odbcconf.exe
substring,odbcconf.exe
substring,offlinescannershell.exe
substring,offlinescannershell.exe
substring,onedrivestandaloneupdater.exe
substring,onedrivestandaloneupdater.exe
substring,onedrivestandaloneupdater.exe
substring,onedrivestandaloneupdater.exe
substring,pcalua.exe
substring,pcalua.exe
substring,pcalua.exe
substring,pcalua.exe
substring,pcalua.exe
substring,pcwrun.exe
substring,pcwrun.exe
substring,pcwrun.exe
substring,/../../$(calc).exe
substring,pcwrun.exe
substring,pktmon.exe
substring,pktmon.exe
substring,pktmon.exe
substring,pktmon.exe
substring,pktmon.exe
substring,pnputil.exe
substring,pnputil.exe
substring,pnputil.exe
substring,presentationhost.exe
substring,presentationhost.exe
substring,presentationhost.exe
substring,presentationhost.exe
substring,presentationhost.exe
substring,print.exe
substring,/d:{path_absolute}:file.exe
substring,print.exe
substring,print.exe
substring,printbrm.exe
substring,printbrm.exe
substring,provlaunch.exe
substring,provlaunch.exe
substring,provlaunch.exe
substring,psr.exe
substring,psr.exe
substring,psr.exe
substring,psr.exe
substring,query.exe
substring,query.exe
substring,query.exe
substring,query.exe
substring,rasautou.exe
substring,rasautou.exe
substring,rdrleakdiag.exe
substring,rdrleakdiag.exe
substring,rdrleakdiag.exe
substring,rdrleakdiag.exe
substring,rdrleakdiag.exe
substring,rdrleakdiag.exe
substring,reg.exe
substring,reg.exe
substring,reg.exe
substring,regasm.exe
substring,regasm.exe
substring,regasm.exe
substring,regasm.exe
substring,regasm.exe
substring,regasm.exe
substring,regasm.exe
substring,regedit.exe
substring,regedit.exe
substring,regini.exe
substring,regini.exe
substring,regini.exe
substring,regini.exe
substring,register-cimprovider.exe
substring,register-cimprovider.exe
substring,register-cimprovider.exe
substring,regsvcs.exe
substring,regsvcs.exe
substring,regsvcs.exe
substring,regsvcs.exe
substring,regsvcs.exe
substring,regsvcs.exe
substring,regsvcs.exe
substring,regsvr32.exe
substring,regsvr32.exe
substring,regsvr32.exe
substring,regsvr32.exe
substring,regsvr32.exe
substring,regsvr32.exe
substring,regsvr32.exe
substring,replace.exe
substring,replace.exe
substring,replace.exe
substring,replace.exe
substring,replace.exe
substring,reset.exe
substring,reset.exe
substring,reset.exe
substring,reset.exe
substring,rpcping.exe
substring,rpcping.exe
substring,rpcping.exe
substring,rundll32.exe
substring,rundll32.exe
substring,rundll32.exe
substring,rundll32.exe
substring,rundll32.exe
substring,rundll32.exe
substring,rundll32.exe
substring,runexehelper.exe
substring,runexehelper.exe
substring,runexehelper.exe
substring,runonce.exe
substring,runonce.exe
substring,runonce.exe
substring,runonce.exe
substring,runscripthelper.exe
substring,runscripthelper.exe
substring,runscripthelper.exe
substring,runscripthelper.exe
substring,sc.exe
substring,sc.exe
substring,sc.exe
substring,schtasks.exe
substring,schtasks.exe
substring,schtasks.exe
substring,scriptrunner.exe
substring,scriptrunner.exe
substring,scriptrunner.exe
substring,scriptrunner.exe
substring,scriptrunner.exe
substring,setres.exe
substring,setres.exe
substring,setres.exe
substring,settingsynchost.exe
substring,settingsynchost.exe
substring,settingsynchost.exe
substring,sftp.exe
substring,sftp.exe
substring,ssh.exe
substring,ssh.exe
substring,stordiag.exe
substring,stordiag.exe
substring,stordiag.exe
substring,stordiag.exe
substring,stordiag.exe
substring,syncappvpublishingserver.exe
substring,syncappvpublishingserver.exe
substring,net.webclient).downloadstring('{remoteurl:.ps1}')
substring,iex"
substring,syncappvpublishingserver.exe
substring,syncappvpublishingserver.exe
substring,tar.exe
substring,tar.exe
substring,tar.exe
substring,ttdinject.exe
substring,ttdinject.exe
substring,ttdinject.exe
substring,ttdinject.exe
substring,ttdinject.exe
substring,tttracer.exe
substring,tttracer.exe
substring,tttracer.exe
substring,tttracer.exe
substring,tttracer.exe
substring,unregmp2.exe
substring,c:\windows\system32\calc.exe
substring,unregmp2.exe
substring,unregmp2.exe
substring,unregmp2.exe
substring,vbc.exe
substring,vbc.exe
substring,vbc.exe
substring,vbc.exe
substring,vbc.exe
substring,vbc.exe
substring,vbc.exe
substring,vbc.exe
substring,verclsid.exe
substring,verclsid.exe
substring,verclsid.exe
substring,verclsid.exe
substring,wab.exe
substring,wab.exe
substring,wab.exe
substring,wab.exe
substring,wbadmin.exe
substring,wbadmin.exe
substring,wbemtest.exe
substring,wbemtest.exe
substring,wbemtest.exe
substring,winget.exe
substring,winget.exe
substring,winget.exe
substring,winget.exe
substring,winget.exe
substring,wlrmdr.exe
substring,wlrmdr.exe
substring,wlrmdr.exe
substring,wmic.exe
substring,wmic.exe
substring,wmic.exe
substring,wmic.exe
substring,wmic.exe
substring,wmic.exe
substring,wmic.exe
substring,wmic.exe
substring,wmic.exe
substring,workfolders.exe
substring,workfolders.exe
substring,wscript.exe
substring,{path}:script.vbs
substring,wscript.exe
substring,wscript.exe
substring,wscript.exe
substring,wsreset.exe
substring,wsreset.exe
substring,wsreset.exe
substring,wuauclt.exe
substring,wuauclt.exe
substring,wuauclt.exe
substring,wuauclt.exe
substring,xwizard.exe
substring,xwizard.exe
substring,xwizard.exe
substring,msedge_proxy.exe
substring,(x86)\microsoft\edge\application\msedge_proxy.exe
substring,(x86)\microsoft\edge\application\msedge_proxy.exe
substring,msedge_proxy.exe
substring,msedgewebview2.exe
substring,msedgewebview2.exe
substring,msedgewebview2.exe
substring,msedgewebview2.exe
substring,msedgewebview2.exe
substring,msedgewebview2.exe
substring,msedgewebview2.exe
substring,wt.exe
substring,wt.exe
substring,wt.exe
substring,advpack.dll
substring,rundll32.exe
substring,rundll32.exe
substring,rundll32.exe
substring,rundll32.exe
substring,advpack.dll
substring,advpack.dll
substring,desk.cpl
substring,rundll32.exe
substring,rundll32.exe
substring,desk.cpl
substring,desk.cpl
substring,dfshim.dll
substring,rundll32.exe
substring,dfsvc.exe
substring,dfsvc.exe
substring,dfsvc.exe
substring,dfsvc.exe
substring,ieadvpack.dll
substring,rundll32.exe
substring,rundll32.exe
substring,rundll32.exe
substring,rundll32.exe
substring,ieadvpack.dll
substring,ieadvpack.dll
substring,ieframe.dll
substring,rundll32.exe
substring,ieframe.dll
substring,ieframe.dll
substring,mshtml.dll
substring,rundll32.exe
substring,mshtml.dll
substring,mshtml.dll
substring,pcwutl.dll
substring,rundll32.exe
substring,pcwutl.dll
substring,pcwutl.dll
substring,photoviewer.dll
substring,rundll32.exe
substring,photoviewer.dll
substring,photoviewer.dll
substring,scrobj.dll
substring,rundll32.exe
substring,scrobj.dll
